Time,Thumb,Index,Middle,Ring,Pinky,Roll,Pitch,Yaw
2.90,528.52,280.49,395.39,966.50,247.61,8.04,45.34,71.34
2.90,973.63,494.31,19.14,105.95,659.22,34.30,28.30,22.90
2.90,736.69,781.53,786.79,666.25,442.54,86.18,0.50,40.39
2.90,571.92,265.51,724.67,232.20,400.22,76.30,60.39,71.12
2.90,449.25,755.37,330.91,217.39,818.67,33.42,74.34,68.71
2.90,937.37,1000.06,142.35,244.25,399.35,88.01,74.17,74.19
2.90,97.57,90.37,509.01,720.13,131.14,43.53,19.28,35.77
2.90,325.73,493.48,412.15,982.39,198.08,1.36,75.63,34.71
2.90,243.27,962.56,93.85,94.12,199.51,30.94,39.19,36.61
2.90,607.95,421.48,658.96,204.49,295.58,38.56,49.02,3.45
2.90,191.37,770.18,335.03,254.87,263.36,84.33,70.91,89.18
2.90,313.79,183.83,483.83,901.24,406.83,72.06,41.66,79.38
2.90,794.00,392.98,489.75,710.26,766.30,81.14,64.50,25.20
2.90,586.06,323.21,498.93,675.09,254.91,81.58,10.99,15.72
2.90,519.49,402.48,191.48,311.09,1003.13,72.82,53.24,7.83
2.90,722.98,445.74,827.50,465.42,699.64,83.13,21.08,18.13
2.90,147.33,934.58,871.35,100.69,178.99,20.16,54.91,51.53
2.90,907.95,1010.92,54.31,680.70,854.27,76.36,11.35,6.17
2.90,380.57,565.75,635.21,552.55,620.92,47.61,82.86,35.36
2.90,205.27,588.12,698.78,687.57,51.72,5.45,56.61,47.36
2.90,2.39,292.37,8.19,429.78,922.56,12.37,9.55,36.50
2.90,127.90,592.08,209.00,821.47,57.55,82.63,46.36,24.93
2.90,98.88,792.01,949.71,993.51,874.70,19.30,28.12,1.81
2.90,126.84,946.65,891.08,611.37,885.49,24.84,51.01,43.36
2.90,409.80,900.51,674.74,92.10,85.75,21.27,34.09,88.58
2.90,799.86,250.29,895.46,405.09,948.44,77.70,82.63,5.53
2.90,588.77,720.40,455.06,511.78,754.49,48.29,58.15,72.98
2.90,608.27,479.64,976.06,962.91,631.57,64.51,37.26,48.21
2.90,555.96,628.30,1009.55,1009.55,671.86,59.25,63.92,25.54
2.90,331.24,910.94,848.25,474.35,155.78,85.40,21.12,37.63
2.90,42.81,764.57,168.16,957.42,266.64,60.79,16.91,85.35
2.90,862.42,23.66,340.42,197.07,370.39,33.49,74.53,80.26
2.90,459.60,47.92,914.38,875.72,1016.48,27.33,69.86,18.71
2.90,821.35,832.96,757.50,226.17,181.86,15.74,48.53,58.79
2.90,514.89,311.42,61.11,209.55,14.65,28.70,9.31,39.54
2.90,724.97,118.42,81.16,376.00,586.79,38.87,1.38,33.97
2.90,577.71,1015.72,976.82,140.97,563.63,53.06,39.28,28.64
2.90,211.79,46.05,696.87,97.77,646.90,60.68,15.74,37.37
2.90,162.66,49.95,269.80,8.76,791.91,48.46,44.48,50.04
2.90,421.38,385.79,269.33,576.61,221.44,59.73,85.51,62.39
2.90,183.14,718.58,568.84,947.71,403.86,48.60,81.79,27.19
2.90,960.70,286.60,432.69,608.27,896.45,47.42,19.96,60.52
2.90,90.58,9.05,759.09,98.92,445.84,14.32,17.45,18.83
2.90,270.64,107.89,811.46,341.31,390.94,24.61,88.30,83.08
2.90,935.80,831.35,411.46,294.25,663.13,11.25,8.04,28.56
2.90,975.91,111.87,723.89,890.62,995.80,64.91,20.91,77.30
2.90,656.88,456.41,214.21,679.80,982.23,84.16,36.52,48.34
2.90,959.82,653.32,140.70,357.56,774.04,82.26,3.24,34.70
2.90,679.15,845.34,395.45,585.79,729.11,25.46,74.51,21.15
2.90,119.65,661.35,802.39,509.90,927.97,13.53,21.89,26.44
2.90,259.38,668.12,838.69,123.10,529.41,39.72,68.11,62.37
2.90,281.71,311.43,520.61,975.91,531.27,77.69,29.79,67.63
2.90,86.12,850.16,819.52,699.18,593.36,88.97,15.04,52.76
2.90,296.79,799.30,64.09,824.31,278.47,30.31,53.16,2.52
2.90,868.53,844.93,609.34,628.44,708.01,8.43,44.78,84.20
2.90,406.40,16.14,233.24,995.24,13.74,81.46,7.84,76.11
2.90,179.08,549.56,3.72,480.57,690.51,5.37,81.87,63.96
2.90,512.78,10.69,704.30,80.28,1014.66,4.44,88.59,42.31
2.90,644.74,116.67,666.16,278.35,439.16,11.32,34.99,57.87
2.90,41.88,27.55,18.10,611.58,688.31,10.43,23.57,63.77
2.90,522.32,494.59,973.19,578.12,456.96,12.29,35.25,18.37
2.90,312.38,214.26,220.71,102.85,851.42,8.38,56.55,44.91
2.90,791.93,812.26,14.60,35.09,401.30,59.66,24.91,72.00
2.90,654.14,995.81,942.78,243.75,248.15,52.74,64.43,26.87
2.90,434.11,444.78,471.08,8.67,369.03,37.19,0.82,24.14
2.90,111.92,786.52,322.56,800.10,632.49,30.18,82.44,25.75
2.90,520.63,277.83,257.14,376.10,543.33,23.50,43.97,75.47
2.90,664.02,83.00,398.10,1012.30,294.52,7.47,49.63,61.62
2.90,830.65,594.61,674.87,959.78,36.58,22.61,78.07,87.62
2.90,817.23,236.65,654.90,81.32,90.14,41.77,33.47,64.55
2.90,105.64,283.33,166.06,903.88,983.71,36.78,85.39,40.95
2.90,23.89,356.99,843.90,784.95,359.35,72.59,52.38,63.12
2.90,251.47,138.75,884.44,506.11,15.06,68.77,81.89,69.08
2.90,488.70,961.98,562.22,17.58,275.48,5.86,5.80,11.51
2.90,547.23,188.76,538.60,78.97,717.61,46.81,32.38,15.12
2.90,546.42,597.88,572.81,222.47,907.42,60.72,2.24,73.14
2.90,798.98,329.78,23.46,841.80,66.07,74.41,1.20,70.38
2.90,525.71,243.59,391.54,393.81,107.27,31.76,60.58,4.62
2.90,1017.36,883.21,259.22,1005.28,427.56,81.01,78.86,84.41
2.90,869.27,412.75,789.10,232.43,286.63,2.85,48.74,33.44
2.90,176.72,565.76,975.53,742.76,979.75,65.92,75.38,56.06
2.90,376.51,446.12,377.87,615.64,834.08,26.22,68.04,73.15
2.90,943.83,863.35,327.87,541.62,105.50,89.98,40.64,10.89
2.90,913.36,708.71,357.75,239.62,858.59,25.02,62.62,49.24
2.90,226.65,809.18,852.26,94.00,413.43,80.80,59.66,32.69
2.90,896.02,124.24,67.02,321.01,145.00,81.33,48.13,8.82
2.90,1002.67,892.58,577.32,798.49,524.79,4.01,39.29,36.24
2.90,22.73,591.01,94.99,573.33,656.27,61.20,67.14,84.86
2.90,631.26,738.99,791.05,697.95,179.61,53.88,5.15,36.11
2.90,770.43,368.38,420.53,536.43,187.71,25.32,62.35,6.83
2.90,211.13,120.07,749.15,35.77,287.22,69.48,6.55,10.51
2.90,9.24,652.97,912.93,695.46,516.64,48.63,40.07,29.69
2.90,982.08,379.68,895.93,267.10,502.50,64.03,87.91,62.63
2.90,99.13,10.80,123.06,453.37,18.01,16.17,23.45,23.36
2.90,648.73,398.71,204.41,1007.20,866.24,52.96,21.24,48.80
2.90,625.03,995.01,787.88,687.53,167.87,88.46,16.24,88.19
2.90,622.00,227.39,870.02,326.23,428.33,74.25,74.18,57.99
2.90,581.67,687.45,139.17,801.69,681.82,10.07,59.28,4.94
2.90,816.45,764.02,419.86,746.65,751.84,83.12,14.25,31.08
2.90,805.66,736.50,737.72,112.47,952.90,75.49,31.84,71.90
2.90,627.34,768.02,143.20,865.07,394.70,80.53,5.53,47.65
2.90,777.66,773.44,313.55,961.37,272.93,48.53,32.01,77.52
2.90,920.17,773.13,415.57,491.37,255.39,84.98,79.86,29.62
2.90,250.17,842.67,331.96,288.40,763.31,45.56,34.10,74.98
2.90,304.23,504.09,518.90,718.24,914.84,73.57,18.69,2.85
2.90,992.88,812.07,281.30,335.84,496.16,8.73,36.75,60.31
2.90,890.49,526.15,799.92,194.71,375.47,6.71,82.94,4.07
2.90,49.16,144.85,1017.79,983.43,537.46,18.31,4.23,67.35
2.90,967.04,451.57,214.32,148.48,185.31,82.44,39.57,69.63
2.90,253.06,376.19,832.17,201.32,331.03,71.21,31.80,29.69
2.90,224.99,254.51,17.84,221.36,461.74,86.35,72.64,56.26
2.90,517.67,500.22,576.97,919.33,170.49,65.77,27.37,51.13
2.90,703.91,614.58,214.45,994.89,903.25,31.56,50.07,22.03
2.90,88.29,1015.83,486.67,373.41,477.15,67.95,48.40,3.92
2.90,343.73,959.27,432.65,326.43,449.68,55.14,42.63,35.64
2.90,388.67,861.52,619.60,855.59,386.90,64.52,60.30,26.68
2.90,915.23,1012.80,363.55,584.50,739.21,80.34,69.06,66.72
2.90,636.82,883.16,509.08,709.63,228.83,41.75,89.42,18.07
2.90,891.04,969.68,884.02,1002.55,313.35,43.95,66.72,41.59
2.90,776.69,736.32,560.92,125.75,773.25,30.31,56.94,4.42
2.90,299.96,260.07,98.18,897.42,882.16,30.08,56.41,13.28
2.90,508.31,637.95,337.88,568.50,975.34,24.60,35.07,31.54
2.90,962.62,113.22,27.89,55.64,968.33,11.89,66.95,40.45
2.90,622.64,728.53,157.26,960.37,173.68,59.03,31.81,87.16
2.90,618.26,314.93,101.06,901.42,862.93,4.20,39.56,43.46
2.90,854.54,240.50,57.14,227.68,573.61,69.01,38.57,87.87
2.90,137.50,15.47,234.18,245.08,97.18,79.38,87.66,3.90
2.90,82.39,239.76,393.27,753.05,589.25,7.54,83.72,45.90
2.90,698.45,117.73,81.14,877.17,991.31,75.92,57.84,13.18
2.90,961.42,570.64,211.53,892.34,312.63,60.87,26.22,67.48
2.90,761.14,562.38,696.67,718.46,550.66,73.30,25.24,69.85
2.90,178.65,860.84,30.62,759.75,845.19,80.74,25.57,58.56
2.90,37.75,811.06,270.10,949.88,587.55,32.10,88.51,62.90
2.90,365.97,503.08,189.31,896.61,702.10,7.11,34.46,9.18
2.90,215.43,906.05,694.72,490.55,686.34,68.25,38.60,68.96
2.90,227.53,883.36,733.84,289.01,933.77,39.12,41.20,17.47
2.90,127.44,728.78,172.21,951.84,901.77,53.45,72.46,75.70
2.90,992.19,398.55,575.20,132.00,621.58,13.93,61.20,25.79
2.90,510.28,165.28,408.34,964.91,404.28,66.71,68.86,67.72
2.90,997.76,708.64,95.07,231.77,365.82,32.11,66.92,56.19
2.90,6.04,174.94,809.22,817.05,32.72,18.74,34.07,87.42
2.90,630.47,1004.70,30.15,453.59,400.98,4.20,39.79,52.25
2.90,14.24,105.86,879.12,719.74,483.32,59.96,10.66,73.67
2.90,802.25,805.58,29.08,103.42,131.48,28.34,53.70,80.59
2.90,795.22,517.63,922.11,873.84,466.07,25.25,2.11,29.95
2.90,579.87,248.39,677.27,472.95,456.95,23.64,82.03,82.06
2.90,726.66,710.15,135.16,831.93,711.30,33.83,29.14,59.89
2.90,482.00,352.33,695.33,260.88,564.61,43.32,65.59,12.13
2.90,722.85,238.11,846.08,447.67,968.84,8.47,63.23,27.07
2.90,853.51,468.38,476.82,103.62,573.67,55.68,80.63,89.63
2.90,250.71,809.23,77.86,32.63,684.94,45.60,58.36,13.22
2.90,16.43,649.12,107.60,14.95,181.85,58.76,11.68,43.51
2.90,144.94,922.42,39.04,319.87,710.92,41.68,79.78,71.96
2.90,948.98,271.70,901.58,282.99,893.35,84.59,72.68,1.16
2.90,393.26,291.60,714.67,216.02,582.88,63.23,86.88,5.32
2.90,108.78,203.99,959.23,960.93,460.30,5.52,1.46,18.38
2.90,79.07,910.10,886.97,143.51,36.24,59.76,67.07,16.87
2.90,150.05,596.01,29.66,570.59,539.81,54.64,73.19,86.66
2.90,393.87,1014.51,773.20,581.45,986.33,74.20,66.21,76.54
2.90,953.16,470.40,302.14,135.72,343.68,53.72,78.14,66.80
2.90,743.95,274.91,924.32,112.84,908.45,82.67,12.84,18.50
2.90,953.54,146.38,15.30,436.74,928.74,50.96,21.55,9.14
2.90,757.01,991.73,360.32,749.06,706.90,68.50,65.61,89.92
2.90,353.10,820.34,733.22,61.08,795.86,79.79,70.65,57.94
2.90,586.80,232.86,984.06,522.64,686.86,60.70,43.69,67.03
2.90,102.98,863.41,535.48,30.43,139.27,53.99,24.59,24.76
2.90,516.94,381.04,111.57,985.29,833.48,30.03,84.99,26.87
2.90,671.18,894.79,418.28,486.78,963.92,49.58,32.44,9.69
2.90,145.51,266.31,28.76,627.86,1017.12,57.57,18.88,22.85
2.90,20.32,215.51,277.47,671.70,211.98,45.41,27.00,49.57
2.90,412.76,268.38,960.25,898.90,908.40,50.94,33.71,16.40
2.90,894.80,673.74,521.17,901.00,780.85,1.12,14.47,42.59
2.90,192.03,493.65,271.22,775.74,582.71,57.76,51.81,52.60
2.90,927.06,77.58,645.13,723.55,746.62,27.99,83.55,24.18
2.90,40.01,26.44,595.99,354.73,105.99,26.08,9.01,47.27
2.90,187.30,864.85,389.61,386.74,211.71,38.33,60.70,12.04
2.90,64.39,1010.62,1002.44,950.79,624.81,81.23,43.52,85.48
2.90,477.84,1022.44,895.25,573.57,770.72,75.65,77.86,47.57
2.90,874.68,181.36,870.16,970.70,443.21,58.34,62.65,5.83
2.90,792.18,212.65,181.69,963.96,9.08,59.11,26.44,18.40
2.90,812.86,116.14,445.65,450.23,442.23,22.05,20.59,41.35
2.90,49.81,48.76,54.88,609.67,580.38,62.89,29.35,15.56
2.90,928.33,367.05,952.75,574.43,529.03,51.50,7.77,62.86
2.90,992.29,953.07,60.23,894.13,393.43,67.50,43.95,69.32
2.90,807.74,869.60,544.11,567.61,104.57,7.45,41.73,34.60
2.90,308.18,303.25,467.67,607.38,694.51,24.74,53.43,46.78
2.90,149.33,301.86,242.67,158.29,916.82,63.62,71.25,39.33
2.90,720.01,339.50,463.97,672.96,360.60,89.70,75.17,62.62
2.90,160.71,409.23,683.88,18.91,787.21,70.56,13.67,81.51
2.90,130.50,847.40,5.67,903.00,407.57,39.10,59.78,41.94
2.90,660.26,314.38,1015.07,885.62,161.79,53.18,88.43,64.66
2.90,44.51,1005.92,744.63,541.21,883.07,47.95,88.22,70.48
2.90,354.24,68.39,572.64,503.69,742.18,12.76,87.13,54.47
2.90,349.86,52.20,668.50,912.57,604.60,33.86,60.33,7.48
2.90,160.96,763.33,179.57,786.84,723.31,9.92,78.35,10.75
2.90,418.39,57.13,464.97,820.72,906.83,34.77,83.22,48.19
2.90,176.30,244.06,379.71,860.52,356.96,21.64,37.84,33.15
2.90,35.11,901.36,92.44,224.27,194.28,49.76,81.55,45.58
2.90,432.25,373.09,503.63,548.89,163.88,34.08,67.42,21.89
2.90,556.50,578.92,241.49,427.33,993.25,2.42,22.82,81.15
2.90,339.23,225.35,321.84,64.63,850.46,86.59,85.93,61.53
2.90,109.31,726.45,606.56,951.09,9.07,58.59,75.32,66.30
2.90,939.51,224.55,777.95,361.75,845.01,21.10,38.77,63.48
2.90,100.13,336.97,714.35,226.29,576.44,68.61,4.60,14.31
2.90,195.23,66.18,773.29,420.27,1004.97,66.84,39.53,49.72
2.90,851.89,98.87,897.92,581.05,245.24,33.20,38.79,86.27
2.90,104.52,165.68,483.30,48.85,330.36,43.63,82.59,62.33
2.90,903.18,648.39,853.91,214.16,562.78,70.52,25.92,46.97
2.90,999.53,359.75,986.91,931.26,486.00,86.09,64.73,31.09
2.90,582.66,832.49,201.48,284.18,794.24,12.40,46.62,10.49
2.90,772.71,369.76,328.04,375.47,166.27,78.91,79.99,47.42
2.90,497.80,34.78,366.52,351.68,66.22,23.30,36.23,14.37
2.90,502.24,77.74,887.35,57.29,619.98,43.89,34.48,88.74
2.90,976.96,226.96,738.60,516.41,170.84,88.95,58.13,70.47
2.90,751.19,601.99,163.19,764.53,39.38,47.80,89.36,2.90
2.90,961.43,225.90,97.98,579.24,614.43,58.04,58.76,4.47
2.90,123.15,426.36,564.28,949.97,18.63,56.35,44.05,69.83
2.90,9.80,954.90,478.83,1009.39,577.27,43.40,7.95,72.31
2.90,295.99,181.93,222.23,722.73,653.30,20.98,89.31,24.29
2.90,579.30,625.63,763.77,338.63,875.15,27.12,50.91,44.79
2.90,245.85,186.23,834.23,375.69,881.51,37.60,68.59,2.98
2.90,589.96,399.60,640.90,125.75,528.76,89.94,21.10,72.95
2.90,129.05,707.19,377.02,216.42,28.83,49.09,47.04,34.95
2.90,997.13,171.57,531.90,319.73,554.43,51.10,42.50,19.43
2.90,51.88,152.97,771.37,112.49,566.00,89.45,61.76,41.68
2.90,451.23,291.32,197.13,368.91,843.70,63.12,52.59,41.50
2.90,566.22,309.66,953.65,1003.29,42.11,16.03,54.04,82.17
2.90,400.78,980.38,269.22,963.53,618.35,62.76,62.10,50.93
2.90,538.71,365.17,237.36,11.48,650.11,18.41,0.61,76.16
2.90,290.83,730.58,208.60,954.53,990.43,15.60,87.15,15.23
2.90,394.29,860.90,784.38,716.72,674.19,39.11,4.05,71.38
2.90,185.02,159.77,714.93,82.39,916.83,38.22,34.06,84.98
2.90,442.66,649.48,107.80,554.82,238.96,8.12,33.16,17.44
2.90,367.83,610.96,751.10,147.43,830.16,8.29,36.87,16.44
2.90,765.57,252.24,413.32,580.29,59.10,75.10,59.44,82.56
2.90,453.26,489.85,306.19,459.05,401.63,44.55,43.22,28.69
2.90,295.85,327.75,227.12,804.59,267.85,30.73,19.53,89.58
2.90,407.13,140.92,34.16,413.08,390.87,23.26,23.21,7.64
2.90,593.81,926.52,595.46,401.17,879.58,18.94,33.00,55.07
2.90,55.94,581.94,147.93,399.97,451.73,15.74,40.11,54.51
2.90,784.23,145.08,571.05,51.78,859.60,82.22,57.07,50.67
2.90,812.65,73.85,861.17,399.08,541.51,89.38,75.30,16.83
2.90,414.72,1010.82,835.66,770.76,143.49,60.46,41.92,75.78
2.90,368.19,454.48,853.10,188.96,395.81,56.59,56.50,82.96
2.90,239.74,739.35,335.53,34.85,356.97,35.39,42.20,68.61
2.90,576.48,21.42,987.40,37.75,184.53,17.82,77.96,74.11
2.90,932.90,419.92,601.21,325.42,926.83,75.01,79.40,40.84
2.90,8.19,966.55,153.19,383.78,141.05,4.65,30.33,66.54
2.90,93.36,17.68,553.38,222.61,172.19,49.07,89.54,55.14
2.90,926.54,523.68,666.15,540.93,742.24,31.97,31.75,23.58
2.90,1000.57,533.82,307.84,524.89,93.06,55.99,47.31,73.05
2.90,102.96,51.11,727.08,567.37,926.02,55.95,49.26,56.51
2.90,66.94,266.33,283.85,783.58,443.49,63.57,29.27,30.54
2.90,487.19,151.55,177.77,125.22,809.44,32.01,41.77,71.60
2.90,41.55,961.24,455.03,184.88,606.85,70.60,80.13,55.36
2.90,919.29,51.24,297.97,609.00,383.26,59.32,14.22,51.65
2.90,907.61,707.48,921.76,791.35,65.41,30.79,89.59,41.57
2.90,627.90,973.02,309.55,416.41,293.74,29.58,13.97,53.82
2.90,132.97,230.93,256.42,735.05,527.62,85.54,56.60,46.03
2.90,844.90,835.20,853.92,605.11,48.70,77.60,47.81,75.45
2.90,624.56,405.62,545.35,128.10,942.39,11.54,39.86,37.69
2.90,869.90,129.74,10.14,580.41,154.49,52.08,85.56,8.31
2.90,476.53,256.23,752.56,484.58,581.79,65.79,10.19,32.20
2.90,414.19,851.93,451.79,685.90,350.31,11.10,67.68,83.70
2.90,395.61,98.54,388.04,606.06,199.50,34.52,53.61,3.69
2.90,1022.19,382.22,871.98,325.50,671.96,29.16,30.75,81.56
2.90,245.10,165.43,223.16,858.81,551.20,78.19,84.06,57.24
2.90,59.42,233.68,793.96,400.13,327.95,20.61,61.46,50.00
2.90,694.82,628.07,935.69,41.44,20.57,48.43,38.03,82.24
2.90,1019.94,388.99,974.73,453.68,511.87,16.46,64.42,87.51
2.90,101.12,868.47,274.96,597.31,859.73,80.93,78.97,51.45
2.90,429.77,800.33,409.41,680.24,591.76,62.37,38.36,30.34
2.90,765.22,46.61,521.46,801.21,907.31,53.84,7.75,26.57
2.90,472.80,353.23,412.62,297.51,134.37,22.76,54.01,86.96
2.90,911.63,687.55,601.88,439.29,433.03,11.90,15.06,87.03
2.90,938.27,774.19,532.16,6.29,950.52,7.09,22.09,61.53
2.90,747.73,383.35,831.58,193.00,638.71,21.52,26.56,71.67
2.90,638.83,196.12,217.80,151.04,984.94,17.04,24.26,6.25
2.90,435.98,11.50,499.99,818.24,749.80,1.40,59.65,56.20
2.90,913.24,473.10,520.24,456.41,1009.61,39.00,31.31,40.06
2.90,818.91,389.56,91.51,628.53,619.40,22.22,50.05,42.13
2.90,899.32,661.19,644.53,160.88,158.35,81.61,40.34,89.84
2.90,379.72,906.21,504.90,971.66,1015.59,9.42,23.55,45.50
2.90,495.10,672.34,359.27,646.52,678.53,78.22,16.80,79.65
2.90,702.24,218.12,781.90,642.88,362.74,46.16,25.96,26.41
2.90,739.94,519.15,804.16,327.56,658.93,35.65,82.45,30.55
2.90,927.67,501.45,73.67,411.71,829.10,83.81,87.84,40.19
2.90,805.68,242.56,882.33,479.99,905.59,81.75,8.74,5.82
2.90,325.53,952.28,627.55,266.40,940.56,61.78,16.55,29.80
2.90,250.67,239.57,127.59,174.21,993.47,61.24,28.95,45.31
2.90,450.57,1020.34,689.34,750.70,1020.51,2.97,1.52,30.30
2.90,604.85,195.41,111.03,170.61,566.67,84.28,13.98,85.41
2.90,475.65,652.61,416.22,735.18,217.55,79.86,69.34,83.45
2.90,665.30,465.74,10.42,936.38,246.43,10.58,35.57,1.64
2.90,509.83,403.97,42.17,269.84,547.73,26.41,68.06,13.88
2.90,96.87,469.88,1007.27,711.03,896.76,89.58,10.44,37.47
2.90,29.03,600.82,325.65,621.42,24.52,53.27,78.12,42.26
2.90,552.23,122.17,245.17,192.61,254.13,8.66,5.73,42.10
2.90,920.95,441.59,246.32,142.52,839.97,46.65,55.35,13.35
2.90,607.43,165.54,310.76,487.95,741.61,17.65,15.27,79.24
2.90,80.17,785.87,87.48,188.59,570.17,82.69,46.11,12.51
2.90,792.16,803.56,945.90,69.69,405.47,60.44,60.25,9.63
2.90,466.93,1004.43,1002.56,644.33,698.87,78.82,69.35,68.48
2.90,62.25,656.94,71.89,612.98,613.72,20.39,3.77,38.02
2.90,830.88,47.10,746.79,621.84,161.58,5.47,87.34,89.21
2.90,825.16,1009.18,359.67,713.92,550.67,75.41,55.47,6.54
2.90,740.00,264.11,563.89,197.11,173.86,37.87,6.47,52.64
2.90,939.04,934.18,855.71,972.88,118.79,70.85,58.91,14.82
2.90,373.73,901.35,642.37,453.85,366.52,48.41,59.89,43.61
2.90,303.70,708.06,1006.37,667.92,298.65,85.29,25.36,14.18
2.90,820.07,353.61,184.31,13.31,799.63,38.75,63.40,69.95
2.90,71.47,390.41,174.19,489.19,672.78,27.32,14.62,11.00
2.90,823.38,16.55,879.14,941.90,507.64,24.90,17.12,24.16
2.90,696.49,656.22,740.88,198.50,699.86,22.42,86.71,27.81
2.90,786.24,478.79,663.18,280.15,657.98,62.05,86.11,77.10
2.90,451.89,185.67,304.12,176.71,3.73,83.57,61.89,82.44
2.90,712.56,301.49,60.49,572.08,956.39,23.63,8.91,57.52
2.90,113.94,736.95,945.97,692.89,217.62,57.52,86.40,33.81
2.90,101.42,253.56,821.62,378.43,98.19,16.11,81.55,67.59
2.90,866.96,51.74,945.21,522.42,278.88,60.86,43.42,48.87
2.90,359.91,968.47,451.19,846.33,357.66,59.19,75.32,52.07
2.90,877.69,633.09,403.46,702.61,553.38,45.51,56.44,12.28
2.90,356.61,999.12,999.09,658.27,331.91,76.66,86.63,25.69
2.90,6.10,458.95,98.73,815.34,504.72,45.74,51.32,78.02
2.90,239.07,269.60,281.48,437.09,652.42,74.30,89.10,63.15
2.90,832.93,734.50,860.30,927.44,76.91,87.14,35.30,28.00
2.90,455.12,585.06,397.26,1013.33,948.40,26.89,89.14,4.29
2.90,937.60,546.00,721.65,286.78,485.15,30.01,12.44,54.83
2.90,28.99,584.96,878.93,674.57,771.59,59.87,2.16,67.95
2.90,243.78,541.53,775.25,362.54,634.68,82.46,24.06,7.68
2.90,174.79,476.39,336.56,882.81,810.35,13.86,14.24,63.69
2.90,621.27,704.80,927.33,981.17,422.34,15.64,7.50,36.49
2.90,587.15,830.11,966.60,68.86,183.16,1.85,73.10,48.04
2.90,235.64,38.36,779.28,371.15,158.85,89.16,31.66,59.02
2.90,821.80,146.18,296.26,792.23,249.95,2.32,68.50,37.99
2.90,489.22,534.95,303.34,733.95,885.31,17.95,13.54,82.91
2.90,183.53,844.73,670.34,234.30,800.38,62.90,49.70,19.15
